2014-06-21|102.232123|45.32312|34
2014-06-23|102.232123|45.32312|34
2015-06-23 21:53:55|113.382994|23.124541|0.0|65.79287
2015-06-23 21:54:00|113.382994|23.124541|0.0|65.79287
2015-06-23 21:54:10|113.382994|23.124541|0.0|65.79287
2015-06-23 21:54:20|113.382994|23.124541|0.0|65.79287
2015-06-23 21:54:30|113.382994|23.124541|0.0|65.79287
2015-06-23 21:54:40|113.382994|23.124541|0.0|65.79287
2015-06-23 21:54:50|113.382994|23.124541|0.0|65.79287
2015-06-23 21:55:00|113.382994|23.124541|0.0|65.79287
2015-06-23 21:55:10|113.382994|23.124541|0.0|65.79287
2015-06-23 21:55:20|113.382994|23.124541|0.0|65.79287
2015-06-23 21:55:30|113.382994|23.124541|0.0|65.79287
2015-06-23 21:55:40|113.382994|23.124541|0.0|65.79287
2015-06-23 21:55:50|113.382994|23.124541|0.0|65.79287
2015-06-23 21:56:00|113.382994|23.124541|0.0|65.79287
2015-06-23 21:56:10|113.382994|23.124541|0.0|65.79287
2015-06-23 21:56:20|113.382994|23.124541|0.0|65.79287
2015-06-23 21:56:30|113.382994|23.124541|0.0|65.79287
2015-06-23 21:56:40|113.382994|23.124541|0.0|65.79287
2015-06-23 21:56:50|113.382994|23.124541|0.0|65.79287
2015-06-23 21:57:00|113.382994|23.124541|0.0|65.79287
2015-06-23 21:57:10|113.382994|23.124541|0.0|65.79287
2015-06-23 21:57:20|113.382994|23.124541|0.0|65.79287
2015-06-23 21:57:30|113.382994|23.124541|0.0|65.79287
2015-06-23 21:57:40|113.382994|23.124541|0.0|65.79287
2015-06-23 21:57:50|113.382994|23.124541|0.0|65.79287
2015-06-23 21:58:00|113.382994|23.124541|0.0|65.79287
2015-06-23 21:58:10|113.382994|23.124541|0.0|65.79287
2015-06-23 21:58:20|113.382994|23.124541|0.0|65.79287
2015-06-23 21:58:30|113.382994|23.124541|0.0|65.79287
2015-06-23 21:58:40|113.382994|23.124541|0.0|65.79287
2015-06-23 21:58:50|113.382994|23.124541|0.0|65.79287
2015-06-23 21:59:00|113.382994|23.124541|0.0|65.79287
2015-06-23 21:59:10|113.382994|23.124541|0.0|65.79287
2015-06-23 21:59:20|113.382994|23.124541|0.0|65.79287
2015-06-23 21:59:30|113.382994|23.124541|0.0|65.79287
2015-06-23 21:59:40|113.382994|23.124541|0.0|65.79287
2015-06-23 21:59:50|113.382994|23.124541|0.0|65.79287
2015-06-23 22:00:00|113.382994|23.124541|0.0|65.79287
2015-06-23 22:00:10|113.382994|23.124541|0.0|65.79287
2015-06-23 22:00:20|113.382994|23.124541|0.0|65.79287
2015-06-23 22:00:30|113.382994|23.124541|0.0|65.79287
2015-06-23 22:00:40|113.382994|23.124541|0.0|65.79287
2015-06-23 22:00:50|113.382994|23.124541|0.0|65.79287
2015-06-23 22:01:00|113.382994|23.124541|0.0|65.79287
2015-06-23 22:01:10|113.382994|23.124541|0.0|65.79287
2015-06-23 22:01:20|113.382994|23.124541|0.0|65.79287
2015-06-23 22:01:30|113.382994|23.124541|0.0|65.79287
2015-06-23 22:01:40|113.382994|23.124541|0.0|65.79287
2015-06-23 22:01:50|113.382994|23.124541|0.0|65.79287
2015-06-23 22:02:00|113.382994|23.124541|0.0|65.79287
2015-06-23 22:02:10|113.382994|23.124541|0.0|65.79287
2015-06-23 22:02:20|113.382994|23.124541|0.0|65.79287
2015-06-23 22:02:30|113.382994|23.124541|0.0|65.79287
2015-06-23 22:02:40|113.382994|23.124541|0.0|65.79287
2015-06-23 22:02:50|113.382994|23.124541|0.0|65.79287
2015-06-23 22:03:00|113.382994|23.124541|0.0|65.79287
2015-06-23 22:03:10|113.382994|23.124541|0.0|65.79287
2015-06-23 22:03:20|113.382994|23.124541|0.0|65.79287
2015-06-23 22:03:30|113.382994|23.124541|0.0|65.79287
2015-06-23 22:03:40|113.382994|23.124541|0.0|65.79287
2015-06-23 22:03:50|113.382994|23.124541|0.0|65.79287
2015-06-23 22:04:00|113.382994|23.124541|0.0|65.79287
2015-06-23 22:04:10|113.382994|23.124541|0.0|65.79287
2015-06-23 22:04:20|113.382994|23.124541|0.0|65.79287
2015-06-23 22:04:30|113.382994|23.124541|0.0|65.79287
2015-06-23 22:04:40|113.382994|23.124541|0.0|65.79287
2015-06-23 22:04:50|113.382994|23.124541|0.0|65.79287
2015-06-23 22:05:00|113.382994|23.124541|0.0|65.79287
2015-06-23 22:05:10|113.382994|23.124541|0.0|65.79287
2015-06-23 22:05:20|113.382994|23.124541|0.0|65.79287
2015-06-23 22:05:30|113.382994|23.124541|0.0|65.79287
2015-06-23 22:05:40|113.382994|23.124541|0.0|65.79287
2015-06-23 22:05:50|113.382994|23.124541|0.0|65.79287
2015-06-23 22:06:00|113.382994|23.124541|0.0|65.79287
